Scientific Name,Common Name,Duration,Habit,Sun,Water,State Code
Campanula rotundifolia,"Bluebell Bellflower, Bluebell Of Scotland, Bluebell, Harebell, Witches' Thimble",Perennial,Herb,"Sun, Shade, Part-shade",Dry,AK
Carex macrocephala,"Largehead Sedge, Big-head Sedge",Perennial,Grass/Grass-like,Sun,,AK
Carex rostrata,"Beaked Sedge, Swollen Beaked Sedge",Perennial,Grass/Grass-like,Part-shade,Wet,AK
Carex stipata,"Awlfruit Sedge, Awl-fruited Sedge, Stalk-grain Sedge",Perennial,Grass/Grass-like,Sun,"Wet, Moist",AK
Chamerion angustifolium ssp. angustifolium,"Fireweed, Narrow-leaf Fireweed, Willow Herb",Perennial,Herb,Sun,Moist,AK
Chrysolepis chrysophylla var. chrysophylla,"Giant Chinquapin, Giant Chinkapin",Perennial,Tree,Part-shade,Dry,AK
Chrysolepis sempervirens,"Bush Chinquapin, Sierran Chinkapin, Sierra Chinquapin",Perennial,Shrub,Sun,,AK
Clarkia amoena,"Farewell To Spring, Farewell-to-spring, Herald-of-summer",Annual,Herb,Part-shade,,AK
Clinopodium douglasii,"Yerba Buena, Oregon-tea",Perennial,Herb,Part-shade,Moist,AK
Clintonia uniflora,"Bride's Bonnet, Queen Cup, Bead Lily",Perennial,Herb,"Shade, Part-shade",Moist,AK
Cornus canadensis,"Bunchberry Dogwood, Canadian Bunchberry",Perennial,Herb,"Sun, Shade, Part-shade",Moist,AK
Cornus sericea,"Red Osier Dogwood, Red Osier, Red-twig Dogwood",Perennial,Shrub,Part-shade,Moist,AK
Cystopteris fragilis,"Brittle Bladderfern, Brittle Bladder Fern, Fragile Fern",Perennial,"Herb, Fern",Part-shade,Moist,AK
Danthonia spicata,"Poverty Oatgrass, Poverty Wild Oat Grass, Curly Grass",Perennial,Grass/Grass-like,"Sun, Shade, Part-shade",Dry,AK
Dasiphora fruticosa ssp. floribunda,"Shrubby Cinquefoil, Golden Hardhack, Potentilla",Perennial,Shrub,Sun,Dry,AK
Deschampsia cespitosa,"Tufted Hairgrass, Tufted Hair Grass",Perennial,Grass/Grass-like,Part-shade,Wet,AK
Dichanthelium acuminatum var. fasciculatum,"Western Panicgrass, Rosette Grass",Perennial,Grass/Grass-like,Part-shade,Moist,AK
Dryas octopetala,"Eightpetal Mountain-avens, Eight-petal Mountain-avens, White Mountain-avens, Mountain Dryas",Perennial,Herb,Sun,Dry,AK
Dryopteris carthusiana,"Spinulose Woodfern, Spinulose Wood Fern, Shield Fern, Toothed Wood Fern",Perennial,"Herb, Fern","Shade, Part-shade",Moist,AK
Elymus canadensis,"Canada Wild Rye, Canadian Wildrye, Prairie Wildrye, Nodding Wildrye",Perennial,Grass/Grass-like,"Sun, Part-shade",Moist,AK
Elymus glaucus,"Blue Wildrye, Blue Wild Rye",Perennial,Grass/Grass-like,Part-shade,Moist,AK
Ericameria nauseosa var. nauseosa,"Rubber Rabbitbrush, Rabbitbrush",Perennial,"Subshrub, Shrub",Sun,,AK
Erigeron compositus,"Cutleaf Daisy, Dwarf Mountain Fleabane, Alpine Daisy",Perennial,Herb,Part-shade,,AK
Fragaria chiloensis,"Beach Strawberry, Coast Strawberry, Chilean Strawberry",Perennial,Herb,"Sun, Shade, Part-shade",Dry,AK
Gymnocarpium dryopteris,"Western Oakfern, Northern Oak Fern",Perennial,"Herb, Fern","Sun, Shade",Moist,AK
Hesperostipa comata ssp. comata,Needle And Thread,Perennial,Grass/Grass-like,Sun,Dry,AK
Heterotheca villosa var. villosa,"Hairy False Goldenaster, Golden-aster",Perennial,Herb,Sun,Dry,AK
Juniperus communis var. montana,"Common Juniper, Dwarf Juniper",Perennial,Shrub,Sun,,AK
Kalmia polifolia,"Bog Laurel, Pale Laurel, Swamp Laurel",Perennial,Shrub,"Sun, Shade, Part-shade",Wet,AK
Krascheninnikovia lanata,Winterfat,Perennial,Shrub,Sun,,AK
Ledum groenlandicum,"Bog Labrador Tea, Rusty Labrador Tea, Labrador Tea, Hudson's Bay Tea, Muskeg Tea",Perennial,Shrub,"Sun, Shade, Part-shade","Wet, Moist",AK
Lewisia cotyledon,"Siskiyou Lewisia, Siskiyou Bitter-root, Broadleaf Lewisia",Perennial,Herb,Part-shade,,AK
Leymus mollis ssp. mollis,"American Dunegrass, American Dune Grass, Beach Wild Rye",Perennial,Grass/Grass-like,Sun,,AK
Linum lewisii var. lewisii,"Prairie Flax, Blue Flax",Perennial,Herb,Part-shade,Dry,AK
Luetkea pectinata,"Partridgefoot, Alaska Spiraea",Perennial,Herb,Part-shade,Moist,AK
Maianthemum dilatatum,"False Lily Of The Valley, May Lily, Canada Mayflower",Perennial,Herb,Shade,"Wet, Moist",AK
Maianthemum racemosum ssp. racemosum,"Feathery False Lily Of The Valley, False Spikenard, False Solomon's Seal, Solomon's Plume, Smilacina",Perennial,Herb,"Shade, Part-shade",Moist,AK
Mimulus guttatus,"Yellow Monkeyflower, Golden Monkeyflower, Seep Monkeyflower, Common Monkeyflower, Seep Monkey-flower",Annual,Herb,Part-shade,Moist,AK
Mimulus lewisii,"Purple Monkeyflower, Great Purple Monkeyflower, Lewis Monkeyflower, Lewis's Monkeyflower",Perennial,Herb,Part-shade,Wet,AK
Minuartia obtusiloba,"Twinflower Sandwort, Alpine Stitchwort, Cushion Sandwort",Perennial,Herb,Sun,Dry,AK
Pedicularis groenlandica,Elephanthead Lousewort,Perennial,Herb,Sun,Moist,AK
Phacelia sericea,"Silky Phacelia, Purple Fringe",Biennial,Herb,Part-shade,,AK
Phyllodoce empetriformis,"Pink Mountain Heath, Pink Mountain Heather",Perennial,Shrub,Part-shade,Moist,AK
Physocarpus capitatus,Pacific Ninebark,Perennial,Shrub,"Sun, Part-shade","Wet, Moist",AK
Picea engelmannii,"Engelmann's Spruce, Engelmann Spruce",Perennial,Tree,"Sun, Part-shade",Moist,AK
Picea sitchensis,Sitka Spruce,Perennial,Tree,"Sun, Shade, Part-shade","Wet, Moist",AK
Pinus contorta,"Lodgepole Pine, Beach Pine, Pino De San Pedro Martir",Perennial,Tree,Sun,Dry,AK
Pinus contorta var. murrayana,"Sierra Lodgepole Pine, Lodgepole Pine",Perennial,Tree,Sun,Dry,AK
Poa secunda,"Sandberg Bluegrass, Curly Blue Grass, Pine Blue Grass, Canby Blue Grass",Perennial,Grass/Grass-like,Part-shade,,AK
Polemonium pulcherrimum,"Jacob's-ladder, Skunk Leaf",Perennial,Herb,Part-shade,Dry,AK
Polypodium glycyrrhiza,Licorice Fern,Perennial,"Herb, Fern",Part-shade,Moist,AK
Polystichum munitum,"Western Swordfern, Pineland Swordfern",Perennial,"Herb, Fern","Shade, Part-shade",Moist,AK
Populus balsamifera ssp. trichocarpa,Black Cottonwood,Perennial,Tree,"Sun, Shade, Part-shade",Moist,AK
Populus tremuloides,"Quaking Aspen, Golden Aspen, Trembling Aspen, Mountain Aspen, Aspen, Trembling Poplar, Alamo Blanco",Perennial,Tree,"Sun, Shade, Part-shade","Wet, Moist, Dry",AK
Prosartes smithii,"Largeflower Fairybells, Large-flower Fairybells, Smith's Fairybells",Perennial,Herb,Part-shade,Moist,AK
Pseudoroegneria spicata ssp. spicata,"Bluebunch Wheatgrass, Bluebunch-wheat Grass",Perennial,Grass/Grass-like,Sun,Dry,AK
Rosa nutkana,Nootka Rose,Perennial,Shrub,"Sun, Shade, Part-shade","Moist, Dry",AK
Rosa woodsii,"Woods' Rose, Western Wild Rose",Perennial,Shrub,"Sun, Shade, Part-shade","Moist, Dry",AK
Rubus spectabilis,"Salmonberry, Salmon Raspberry",Perennial,"Subshrub, Vine","Sun, Shade, Part-shade",Moist,AK
Salix scouleriana,"Scouler's Willow, Western Pussy Willow",Perennial,Shrub,"Sun, Shade, Part-shade","Moist, Dry",AK
Saxifraga bronchialis,"Yellowdot Saxifrage, Yellow-spot Saxifrage, Matted Saxifrage",Perennial,Herb,Part-shade,Dry,AK
Schoenoplectus acutus var. acutus,Hardstem Bulrush,Perennial,Grass/Grass-like,Sun,Wet,AK
Shepherdia canadensis,"Russet Buffaloberry, Rabbitberry",Perennial,Shrub,"Sun, Shade, Part-shade","Moist, Dry",AK
Silene acaulis,"Moss Campion, Cushion Pink",Perennial,Herb,Sun,,AK
Symphyotrichum ascendens,"Western Aster, Western American-aster, Purple Aster, Pacific Aster",Perennial,Herb,Sun,Moist,AK
Symphyotrichum foliaceum var. foliaceum,"Alpine Leafybract Aster, Leafy Aster",Perennial,Herb,Part-shade,Moist,AK
Taxus brevifolia,"Pacific Yew, Western Yew",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry",AK
Tellima grandiflora,"Bigflower Tellima, Fragrant Fringecup",Perennial,Herb,"Sun, Shade, Part-shade",Moist,AK
Thuja plicata,"Western Red Cedar, Western Arborvitae, Canoe Cedar",Perennial,Tree,"Shade, Part-shade","Wet, Moist",AK
Tiarella trifoliata var. unifoliata,"Oneleaf Foamflower, Western Foamflower, Sugar Scoop",Perennial,Herb,Shade,,AK
Tolmiea menziesii,"Youth On Age, Piggyback-plant, Youth-on-age, Thousand Mothers",Perennial,Herb,Shade,Moist,AK
Trisetum spicatum,"Spike Trisetum, Narrow False Oat",Perennial,Grass/Grass-like,Sun,Moist,AK
Tsuga heterophylla,Western Hemlock,Perennial,Tree,"Sun, Shade, Part-shade","Wet, Moist",AK
Tsuga mertensiana,Mountain Hemlock,Perennial,Tree,"Sun, Shade, Part-shade",Moist,AK
Typha latifolia,"Broadleaf Cattail, Common Cattail",Perennial,Grass/Grass-like,"Sun, Part-shade",Wet,AK
Vaccinium parvifolium,"Red Huckleberry, Red Blueberry",Perennial,Shrub,"Sun, Shade, Part-shade","Moist, Dry",AK
Viburnum edule,"Squashberry, Moosewood Viburnum, Few-flowered Cranberry Bush",Perennial,Shrub,"Sun, Shade, Part-shade",Moist,AK
Viola glabella,"Pioneer Violet, Smooth Yellow Violet",Perennial,Herb,"Shade, Part-shade","Wet, Moist",AK
Acer negundo,"Box Elder, Box Elder Maple, Ash-leaved Maple, Ashleaf Maple, Red River Maple, Fresno De Guajuco",Perennial,Tree,Sun,Moist,AL
Acer rubrum var. drummondii,"Drummond's Maple, Drummond Red Maple, Swamp Maple",Perennial,Tree,Part-shade,"Wet, Moist",AL
Achillea millefolium,"Common Yarrow, Western Yarrow, Yarrow, Milfoil",Perennial,Herb,"Sun, Part-shade",Dry,AL
Aesculus pavia,"Red Buckeye, Scarlet Buckeye , Firecracker Plant",Perennial,"Shrub, Tree",Part-shade,Moist,AL
Amelanchier arborea,"Common Serviceberry, Downy Serviceberry, Shadbush, Juneberry, Junebush, Shadblow, Sarvis",Perennial,Tree,"Sun, Shade, Part-shade",Dry,AL
Andropogon gerardii,"Big Bluestem, Tall Bluestem, Turkeyfoot",Perennial,Grass/Grass-like,"Sun, Part-shade",Moist,AL
Aquilegia canadensis,"Eastern Red Columbine, Wild Red Columbine",Perennial,Herb,"Shade, Part-shade","Moist, Dry",AL
Aralia spinosa,"Devil's Walking Stick, Hercules Club, Angelica Tree, Pigeon Tree, Shotbush, Prickly Elder, Prickly Ash",Perennial,Tree,Part-shade,Moist,AL
Aronia arbutifolia,"Red Chokeberry, Red Chokecherry",Perennial,Shrub,Sun,Moist,AL
Asclepias tuberosa,"Butterflyweed, Butterfly Weed, Butterfly Milkweed, Orange Milkweed, Pleurisy Root, Chigger Flower, Chiggerweed",Perennial,Herb,Sun,"Moist, Dry",AL
Asimina parviflora,"Smallflower Pawpaw, Small-flower Pawpaw, Dwarf Pawpaw",Perennial,Shrub,Part-shade,,AL
Asimina triloba,"Pawpaw, Common Pawpaw, Custard Apple, Indian Banana, Wild Banana",Perennial,Tree,"Sun, Shade, Part-shade",Moist,AL
Asplenium platyneuron,Ebony Spleenwort,Perennial,Fern,"Shade, Part-shade",Moist,AL
Athyrium filix-femina,"Common Lady Fern, Subarctic Lady Fern, Lady Fern, Ladyfern",Perennial,"Herb, Fern","Shade, Part-shade","Wet, Moist",AL
Betula nigra,"River Birch, Red Birch, Black Birch, Water Birch",Perennial,Tree,Part-shade,Moist,AL
Bignonia capreolata,Crossvine,Perennial,Vine,"Sun, Part-shade","Moist, Dry",AL
Bouteloua curtipendula,"Sideoats Grama, Banderilla, Banderita, Navajita",Perennial,Grass/Grass-like,"Sun, Part-shade","Moist, Dry",AL
Callicarpa americana,"American Beautyberry , French Mulberry",Perennial,Shrub,Part-shade,Moist,AL
Calycanthus floridus,"Eastern Sweetshrub, Carolina Allspice, Sweet Shrub",Perennial,Shrub,Part-shade,Moist,AL
Campsis radicans,"Trumpet Creeper, Trumpet Vine, Common Trumpet Creeper, Cow Vine, Foxglove Vine, Hellvine, Devil's Shoestring",Perennial,Vine,Sun,"Moist, Dry",AL
Carpinus caroliniana,"American Hornbeam, Blue Beech, Water Beech, Musclewood, Ironwood",Perennial,Tree,"Shade, Part-shade",Moist,AL
Carya glabra,"Pignut Hickory, Sweet Pignut Hickory, Coast Pignut Hickory, Pignut, Sweet Pignut, Smoothbark Hickory, Broom Hickory, Red Hickory, Swamp Hickory, Switch Hickory, Switchbud Hickory",Perennial,Tree,"Sun, Shade, Part-shade",Dry,AL
Carya illinoinensis,Pecan,Perennial,Tree,Sun,Moist,AL
Catalpa bignonioides,"Southern Catalpa, Cigar Tree, Indian Bean",Perennial,Tree,Part-shade,Wet,AL
Cercis canadensis,"Eastern Redbud, Redbud",Perennial,Tree,"Shade, Part-shade",Moist,AL
Chionanthus virginicus,"White Fringetree, Fringe Tree, Snowflower Tree, Flowering Ash, Old Man's Beard, Grandfather Graybeard, Grancy Graybeard",Perennial,Tree,Part-shade,Moist,AL
Cliftonia monophylla,"Buckwheat Tree, Buckwheat Bush",Perennial,Shrub,Sun,Wet,AL
Conoclinium coelestinum,"Blue Mistflower, Wild Ageratum, Blue Boneset",Perennial,Herb,"Sun, Part-shade",Moist,AL
Coreopsis tinctoria,"Plains Coreopsis, Golden Tickseed, Goldenwave, Calliopsis",Annual,Herb,"Sun, Part-shade",Moist,AL
Cornus drummondii,"Roughleaf Dogwood, Drummond's Dogwood, Rough-leaf Dogwood",Perennial,Tree,"Shade, Part-shade","Moist, Dry",AL
Cornus florida,"Flowering Dogwood, Virginia Dogwood, Florida Dogwood, White Cornel, Arrowwood, American Boxwood, False Box, St. Peter's Crown, Corona De San Pedro",Perennial,Tree,"Shade, Part-shade","Moist, Dry",AL
Crataegus opaca,"Mayhaw, Western Mayhaw, May Hawthorn, Riverflat Hawthorn, Applehaw, May Haw",Perennial,Tree,Part-shade,Wet,AL
Cyrilla racemiflora,"Titi, Swamp Titi, Black Titi, White Titi, Red Titi, Leatherwood, Swamp Cyrilla, American Cyrilla, Burnwood Bark, Palo Colorado",Perennial,Tree,Part-shade,Wet,AL
Delphinium exaltatum,Tall Larkspur,Perennial,Herb,Part-shade,,AL
Diospyros virginiana,"Common Persimmon, Eastern Persimmon, Possumwood, Date Plum, Winter Plum, Jove's Fruit",Perennial,Tree,Part-shade,Dry,AL
Echinacea purpurea,"Eastern Purple Coneflower, Purple Coneflower",Perennial,Herb,"Sun, Part-shade",Dry,AL
Fagus grandifolia,"American Beech, White Beech, Red Beech, Ridge Beech, Beechnut Tree",Perennial,Tree,"Shade, Part-shade",Moist,AL
Forestiera acuminata,"Eastern Swamp Privet, Swamp Privet, Texas Privet",Perennial,Shrub,Part-shade,Wet,AL
Fothergilla major,"Mountain Witchalder, Mountain Witch-alder, Large Fothergilla",Perennial,Shrub,"Sun, Part-shade",Moist,AL
Frangula caroliniana,"Carolina Buckthorn, Carolina False Buckthorn, Yellow Buckthorn, Indian Cherry, Yellowwood",Perennial,Tree,Part-shade,Moist,AL
Fraxinus pennsylvanica,"Green Ash, Red Ash, Swamp Ash, River Ash, Water Ash, Darlington Ash",Perennial,Tree,"Sun, Shade, Part-shade","Wet, Moist, Dry",AL
Gaillardia pulchella,"Indian Blanket, Firewheel, Girasol Rojo",Annual,Herb,"Sun, Part-shade",Dry,AL
Gelsemium sempervirens,"Carolina Jessamine, Yellow Jessamine, Evening Trumpetflower, Poor Man's Rope",Perennial,Vine,"Sun, Part-shade",Moist,AL
Gleditsia triacanthos,"Honey Locust, Common Honey Locust, Thorny Common Honey Locust, Honey Shucks Locust, Sweet Locust, Thorny Locust, Honey Shucks, Sweet Bean Tree",Perennial,Tree,Part-shade,Moist,AL
Gordonia lasianthus,"Gordonia, Loblolly Bay",Perennial,Shrub,Sun,Moist,AL
Halesia diptera,"Two-wing Silverbell, Two-winged Silverbell, Silverbell, American Snowdrop Tree, Snowdrop Tree, Snowbell, Cowlicks",Perennial,"Shrub, Tree",Part-shade,Dry,AL
Hamamelis virginiana,"Witch-hazel, American Witch-hazel, Common Witch-hazel, Winterbloom, Snapping Hazelnut, Striped Alder, Spotted Alder, Tobacco-wood, Water-witch",Perennial,Tree,"Shade, Part-shade","Moist, Dry",AL
Helianthus angustifolius,"Swamp Sunflower, Narrowleaf Sunflower, Narrow-leaved Sunflower",Perennial,Herb,Part-shade,Wet,AL
Hepatica nobilis var. acuta,"Sharplobe Hepatica, Sharp-lobed Hepatica, Mountain Hepatica",Perennial,Herb,Shade,Moist,AL
Hibiscus coccineus,"Scarlet Rosemallow, Crimson Rosemallow, Wild Red Mallow, Texas Star Hibiscus",Perennial,Herb,Sun,Wet,AL
Hydrangea arborescens,"Smooth Hydrangea, Wild Hydrangea, Sevenbark",Perennial,Shrub,Part-shade,Moist,AL
Hydrangea quercifolia,"Oakleaf Hydrangea, Oak-leaf Hydrangea",Perennial,Shrub,Shade,Moist,AL
Hypericum hypericoides ssp. hypericoides,St. Andrew's-cross,Perennial,Shrub,Part-shade,,AL
Ilex decidua,"Possumhaw, Possumhaw Holly, Deciduous Holly, Meadow Holly, Prairie Holly, Swamp Holly, Welk Holly, Deciduous Yaupon, Bearberry, Winterberry",Perennial,Shrub,"Sun, Part-shade",Moist,AL
Ilex opaca,"American Holly, White Holly, Prickly Holly, Evergreen Holly, Christmas Holly, Yule Holly",Perennial,Tree,"Sun, Shade, Part-shade","Wet, Dry",AL
Ilex vomitoria,"Yaupon, Yaupon Holly, Cassina",Perennial,"Shrub, Tree","Sun, Shade, Part-shade","Moist, Dry",AL
Ipomopsis rubra,"Standing Cypress, Texas Plume, Red Texas Star, Red Gilia",Biennial,Herb,"Sun, Part-shade",Dry,AL
Itea virginica,"Virginia Sweetspire, Tassel-white, Virginia Willow",Perennial,Shrub,Part-shade,Moist,AL
Juglans nigra,"Black Walnut, Eastern Black Walnut, American Black Walnut",Perennial,Tree,"Sun, Part-shade",Moist,AL
Juniperus virginiana,"Eastern Red Cedar, Eastern Redcedar, Virginia Juniper, Red Juniper, Pencil Cedar, Carolina Cedar, Red Savin",Perennial,Tree,"Sun, Shade, Part-shade",Dry,AL
Leucothoe axillaris,"Coastal Doghobble, Coast Leucothoe",Perennial,Shrub,"Shade, Part-shade",Moist,AL
Lindera benzoin,"Northern Spicebush, Spicebush, Wild Allspice",Perennial,Shrub,"Sun, Shade, Part-shade","Wet, Moist, Dry",AL
Liquidambar styraciflua,"Sweetgum, American Sweetgum, Red Gum, White Gum, Star-leaved Gum, Starleaf Gum, Alligator Tree, Satin Walnut, Bilsted, Liquidambar",Perennial,Tree,Part-shade,Moist,AL
Lobelia cardinalis,Cardinal Flower,Perennial,Herb,"Sun, Shade, Part-shade","Wet, Moist",AL
Lonicera sempervirens,"Coral Honeysuckle, Trumpet Honeysuckle, Woodbine",Perennial,Vine,"Sun, Part-shade",Moist,AL
Magnolia grandiflora,"Southern Magnolia, Evergreen Magnolia, Loblolly Magnolia, Great Laurel Magnolia, Big Laurel, Bull Bay",Perennial,Tree,Part-shade,Dry,AL
Malus angustifolia,"Southern Crabapple, Narrowleaf Crabapple, Wild Crabapple, Southern Crab, Narrowleaf Crab, Wild Crab",Perennial,Tree,Part-shade,Moist,AL
Monarda citriodora,"Lemon Beebalm, Purple Horsemint, Lemon Mint, Plains Horsemint, Lemon Horsemint, Horsemint, Purple Lemon Mint",Annual,Herb,"Sun, Part-shade",Dry,AL
Morella cerifera,"Wax Myrtle , Southern Wax Myrtle, Southern Bayberry, Eastern Bayberry, Bayberry, Candleberry, Tallow Shrub",Perennial,Shrub,"Sun, Part-shade","Wet, Moist",AL
Oenothera speciosa,"Pink Evening Primrose, Showy Evening Primrose, Mexican Evening Primrose, Showy Primrose, Pink Ladies, Buttercups, Pink Buttercups",Perennial,Herb,Sun,"Moist, Dry",AL
Osmanthus americanus,"American Olive, Devilwood, Wild Olive",Perennial,Tree,Part-shade,Moist,AL
Osmunda regalis,Royal Fern,Perennial,"Herb, Fern","Shade, Part-shade","Wet, Moist",AL
Ostrya virginiana,"Eastern Hop-hornbeam, American Hop-hornbeam, Woolly Hop-hornbean, Eastern Ironwood, Roughbark Ironwood, Ironwood, Deerwood, Leverwood",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry",AL
Oxydendrum arboreum,"Sourwood, Sorrel Tree",Perennial,Tree,Part-shade,,AL
Panicum virgatum,"Switchgrass, Wand Panic Grass",Perennial,Grass/Grass-like,"Sun, Part-shade","Moist, Dry",AL
Parthenocissus quinquefolia,Virginia Creeper,Perennial,Vine,"Sun, Shade, Part-shade",Moist,AL
Passiflora incarnata,"Maypop, Purple Passionflower, Purple Passion Vine, Apricot Vine",Perennial,Vine,"Sun, Part-shade","Moist, Dry",AL
Penstemon digitalis,"Mississippi Penstemon, Mississippi Beardtongue, Smooth White Penstemon, Smooth White Beardtongue, Talus Slope Penstemon, Talus Slope Beardtongue, Foxglove Penstemon, Foxglove Beardtongue",Perennial,Herb,"Sun, Part-shade","Wet, Moist, Dry",AL
Phlox divaricata,"Wild Blue Phlox, Louisiana Phlox, Blue Woodland Phlox, Sweet William, Wild Sweet William",Perennial,Herb,"Shade, Part-shade",Moist,AL
Pinus echinata,"Shortleaf Pine, Shortleaf Yellow Pine, Southern Yellow Pine, Yellow Pine, Shortstraw Pine, Arkansas Pine, Longtag Pine, Spruce Pine, Oldfield Pine, Arkansas Soft Pine",Perennial,Tree,Part-shade,Dry,AL
Pinus elliottii,Slash Pine,Perennial,Tree,Part-shade,Moist,AL
Pinus glabra,Spruce Pine,Perennial,Tree,Part-shade,Moist,AL
Pinus palustris,"Longleaf Pine, Georgia Pine, Longleaf Yellow Pine, Southern Yellow Pine, Longstraw Pine, Hill Pine, Hard Pine, Heart Pine",Perennial,Tree,Sun,Dry,AL
Pinus taeda,"Loblolly Pine, Oldfield Pine, Bull Pine, Rosemary Pine",Perennial,Tree,Part-shade,Dry,AL
Platanus occidentalis,"American Sycamore, Eastern Sycamore, American Plane Tree, Plane Tree, Buttonwood, Buttonball Tree",Perennial,Tree,"Sun, Shade, Part-shade",Moist,AL
Polystichum acrostichoides,Christmas Fern,Perennial,Fern,"Shade, Part-shade",Moist,AL
Prunus angustifolia,"Chickasaw Plum, Sandhill Plum",Perennial,Tree,"Sun, Part-shade",Dry,AL
Prunus mexicana,"Mexican Plum, Bigtree Plum, Inch Plum",Perennial,Tree,"Sun, Part-shade","Moist, Dry",AL
Prunus serotina,"Black Cherry, Wild Black Cherry, Rum Cherry",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry",AL
Quercus alba,"White Oak, Northern White Oak, Eastern White Oak, Stave Oak, Ridge White Oak, Forked-leaf White Oak",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry",AL
Quercus falcata,"Southern Red Oak, Bottomland Red Oak, Three-lobed Red Oak, Spanish Oak",Perennial,Tree,Part-shade,Dry,AL
Quercus nigra,"Water Oak, Possum Oak, Duck Oak, Punk Oak, Spotted Oak",Perennial,Tree,Part-shade,Wet,AL
Quercus phellos,"Willow Oak, Swamp Willow Oak, Pin Oak, Peach Oak",Perennial,Tree,Part-shade,Moist,AL
Quercus shumardii,"Shumard Oak, Shumard's Oak, Shumard Red Oak, Southern Red Oak, Swamp Red Oak, Spotted Oak",Perennial,Tree,"Sun, Part-shade","Moist, Dry",AL
Quercus stellata,"Post Oak, Iron Oak, Cross Oak",Perennial,Tree,Part-shade,Dry,AL
Quercus virginiana,"Coastal Live Oak, Southern Live Oak, Virginia Live Oak, Live Oak, Encino",Perennial,Tree,"Sun, Part-shade",Moist,AL
Rhododendron austrinum,"Orange Azalea, Florida Azalea, Yellow Azalea",Perennial,Shrub,Part-shade,Dry,AL
Rhododendron canescens,"Mountain Azalea, Wild Azalea, Honeysuckle Azalea, Piedmont Azalea, Sweet Azalea, Hoary Azalea, Southern Pinxterflower",Perennial,Shrub,Part-shade,Dry,AL
Rhus glabra,Smooth Sumac,Perennial,Shrub,"Sun, Shade, Part-shade",Dry,AL
Robinia pseudoacacia,Black Locust,Perennial,Tree,Sun,"Moist, Dry",AL
Rudbeckia hirta,"Black-eyed Susan, Common Black-eyed Susan, Brown-eyed Susan, Blackeyed Susan","Annual, Biennial, Perennial",Herb,Sun,"Moist, Dry",AL
Sambucus nigra ssp. canadensis,"Common Elderberry, Black Elder, Mexican Elderberry, Common Elder, Elderberry, Tapiro, Sauco",Perennial,Shrub,Part-shade,Wet,AL
Sassafras albidum,"Sassafras, White Sassafras, Ague Tree, Cinnamon Wood, Mitten Tree, Saloop, Smelling Stick",Perennial,Tree,"Sun, Shade, Part-shade",Moist,AL
